2021-06-13 14:38:07.847181: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2021-06-13 14:38:07.847218: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-06-13 14:38:16.261 | INFO     | readability_transformers.dataset.Dataset:split_train_valid_test:41 - Considering cache...
2021-06-13 14:38:16.262 | INFO     | readability_transformers.dataset.Dataset:split_train_valid_test:47 - Found and loading train, valid, test cached split...
2021-06-13 14:38:26.900 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:81 - Model folder not found. Creating entirely new checkpoint.
2021-06-13 14:38:26.902 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:87 - SentenceTransformer model is not loaded. Make sure you run init_st_model() to initialize a new instance.
2021-06-13 14:38:26.902 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:89 - Prediction model is not loaded. Make sure you run init_rp_model() to initialize a new instance.
2021-06-13 14:38:26.903 | INFO     | readability_transformers.ReadabilityTransformer:init_st_model:124 - model_name facebook/bart-base is not a local folder to a previously trained ST model. Initializing new ST model...
2021-06-13 14:38:35.326 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-13 18:03:02.295 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-13 21:32:29.926 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-14 01:01:46.738 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-14 04:26:41.495 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-14 07:56:14.428 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-14 11:25:22.621 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-14 14:50:59.477 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-14 18:20:22.578 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-14 21:49:56.617 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 01:14:33.056 | INFO     | readability_transformers.dataset.Dataset:split_train_valid_test:41 - Considering cache...
2021-06-15 01:14:33.058 | INFO     | readability_transformers.dataset.Dataset:split_train_valid_test:47 - Found and loading train, valid, test cached split...
2021-06-15 01:14:43.241 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:81 - Model folder not found. Creating entirely new checkpoint.
2021-06-15 01:14:43.244 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:87 - SentenceTransformer model is not loaded. Make sure you run init_st_model() to initialize a new instance.
2021-06-15 01:14:43.245 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:89 - Prediction model is not loaded. Make sure you run init_rp_model() to initialize a new instance.
2021-06-15 01:14:43.251 | INFO     | readability_transformers.ReadabilityTransformer:init_st_model:124 - model_name checkpoints/stsb-mpnet-base-v2/0_SentenceTransformer is not a local folder to a previously trained ST model. Initializing new ST model...
2021-06-15 01:14:48.747 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 02:11:53.087 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 03:09:02.224 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 04:06:15.093 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 05:03:41.097 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 06:00:52.221 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 06:57:59.223 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 07:54:57.839 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 08:52:04.055 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 09:45:10.160 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 10:42:26.364 | INFO     | readability_transformers.dataset.Dataset:split_train_valid_test:41 - Considering cache...
2021-06-15 10:42:26.365 | INFO     | readability_transformers.dataset.Dataset:split_train_valid_test:47 - Found and loading train, valid, test cached split...
2021-06-15 10:42:37.084 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:81 - Model folder not found. Creating entirely new checkpoint.
2021-06-15 10:42:37.086 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:87 - SentenceTransformer model is not loaded. Make sure you run init_st_model() to initialize a new instance.
2021-06-15 10:42:37.086 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:89 - Prediction model is not loaded. Make sure you run init_rp_model() to initialize a new instance.
2021-06-15 10:42:37.090 | INFO     | readability_transformers.ReadabilityTransformer:init_st_model:124 - model_name checkpoints/paraphrase-mpnet-base-v2/0_SentenceTransformer is not a local folder to a previously trained ST model. Initializing new ST model...
2021-06-15 10:42:42.525 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 12:15:37.011 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 13:44:05.296 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 15:12:40.300 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 16:41:25.723 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 18:14:27.279 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 19:42:51.843 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 21:11:13.921 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-15 22:39:33.570 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-16 00:12:36.469 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-16 01:41:19.528 | INFO     | readability_transformers.dataset.Dataset:split_train_valid_test:41 - Considering cache...
2021-06-16 01:41:19.529 | INFO     | readability_transformers.dataset.Dataset:split_train_valid_test:47 - Found and loading train, valid, test cached split...
2021-06-16 01:41:30.598 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:81 - Model folder not found. Creating entirely new checkpoint.
2021-06-16 01:41:30.600 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:87 - SentenceTransformer model is not loaded. Make sure you run init_st_model() to initialize a new instance.
2021-06-16 01:41:30.600 | INFO     | readability_transformers.ReadabilityTransformer:setup_load_checkpoint:89 - Prediction model is not loaded. Make sure you run init_rp_model() to initialize a new instance.
2021-06-16 01:41:30.604 | INFO     | readability_transformers.ReadabilityTransformer:init_st_model:124 - model_name checkpoints/paraphrase-TinyBERT-L6-v2/0_SentenceTransformer is not a local folder to a previously trained ST model. Initializing new ST model...
2021-06-16 01:41:33.857 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-16 02:28:58.014 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-16 03:12:12.486 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-16 03:59:35.569 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-16 04:47:02.255 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
2021-06-16 05:34:02.893 | INFO     | readability_transformers.ReadabilityTransformer:st_fit:206 - Fitting SentenceTransformer model...
